Ontology ID,LABEL,alternative label,alternative label,Parent,Definition,Reference,Term editors,Comment
OBCS:0000265,expert elicitation,专家启发法,,uncertainty analysis,"A structured process to elicit subjective judgements from experts. Expert elicitation in the context of uncertainty quantification aims at a credible and traceable  account of specifying probabilistic information regarding uncertainty, in a structured and documented way.",http://www.nusap.net/downloads/toolcatalogue.pdf,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000266,Numeral Unit Spread Assessment Pedigree,数字单元传播评估谱系,NUSAP,uncertainty analysis,"The NUSAP (Numeral Unit Spread Assessment, Pedigree) method aims to provide an analysis and diagnosis of uncertainty. It captures both quantitative dimensions and qualitative dimensions of uncertainty (Funtowicz and Ravetz 1990).",https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=3855&context=iemssconference;https://link.springer.com/book/10.1007/978-94-009-0621-1,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000267,Scenario Analysis,情境分析,,uncertainty analysis,"A method that tries to describe logical and internally consistent sequences  of events to explore how the future might, could or should evolve from the past and present.",http://www.nusap.net/downloads/toolcatalogue.pdf,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000268,Pluralistic fRamework of Integrated uncertainty Management and risk Analysis,综合不确定性管理和风险分析的多元框架,PRIMA,uncertainty analysis,A meta approach (organising  framework) to structure the process of uncertainty management,https://link.springer.com/chapter/10.1007/978-94-017-2583-5_6,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000269,Checklist for Model Quality Assistance,模型质量协助清单,,uncertainty analysis,An instrument for internal use to assist  modellers and users of models in the process of quality control.,http://www.nusap.net/downloads/toolcatalogue.pdf,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000270,Critical Review of Assumptions in models,模型中假设的批判性审查,,uncertainty analysis,"A method that enables to systematically identify and prioritize critical assumptions in (chains of linked) models and provides a framework for the critical appraisal of model assumptions.This method aims to systematically identify, prioritise and analyse importance and strength of assumptions in models.",http://www.nusap.net/downloads/toolcatalogue.pdf,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000271,uncertainty elimination,不确定性消除,elimiation of uncertainty,process,,https://www.ctillc.com/blog/rd-four-part-test-and-elimination-of-uncertainty,Jinjing Guo|Oliver He|Jie Zheng,to be confirmed
OBCS:0000272,uncertainty arise conditions,不确定性缘由,source of uncertainty,process,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000273,uncertainty response activity,不确定性应对措施,solutions of uncertainty,process,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000274,rarity of events,事件罕见,,uncertainty arise conditions,"Rare or extreme events are events that occur with low frequency, and often refers to infrequent events that have a widespread effect and which might destabilize systems",https://en.wikipedia.org/wiki/Rare_events,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000275,multiple effects from single causes,单一原因的多重影响,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000276,individual differences,个体差异,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000277,materials difficult to obtain,材料难以获取,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000278,"instability of event (episodic, self-reversing, spreading)",事件不稳定（偶发、自我逆转、扩散）,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000279,partially available data,部分可用数据,limited and inaccurate data,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000280,diverse populations for study,研究人群不同,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000281,unclear boundaries of causal phenomena,因果现象界限不清,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000282,lack of causal models,缺乏因果模型,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000283,uncontrollable experimental conditions,不可控的实验条件,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000284,lack of information for comparison,缺乏可供比较的信息,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000285,labile and spreading symptoms and side effects,不稳定和不断扩散的症状和副作用,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000286,delayed information,延迟的信息,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000287,specialist/nonspecialist handling of the same cases,同一案例的专业/非专业处理,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000288,unequal status between investigators,调查者间地位不平等,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000289,poor management-staff relations,管理层与员工关系不佳,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000290,lack of funding,资金不足,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000291,sporadic funding,资金分散,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000292,lack of institutional security,缺乏制度保障,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000293,delays and lack of communication between investigators,调查人员间的延误和缺乏沟通,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000294,reacting subjects,,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000295,operative complications (experimental),手术并发症（实验性）,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000296,uncontrollable procedures,无法控制的程序,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000297,observational difficulties,观察困难,,uncertainty arise conditions,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000298,order data sequentially or by spatial location,按顺序或空间位置对数据进行排序,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000299,standardize,标准化,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000300,find exemplars-filter for clear-cut cases,范例筛选,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000301,segmentation of uncertainty,不确定性分割,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000302,substitution of taxonomy for diagnosis,诊断分类替代,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000303,division of labor,劳动分工,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000304,search for pathognomonic signs,寻找病症,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000305,shotgun treatments,散弹枪疗法,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000306,division of data along political lines for clarity,按照政治路线清晰划分数据,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000307,division of labor along technical/substantive lines,按照技术/实质性原则分工,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000308,observations limited to available materials,观察限于现有材料,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000309,utilitarian emphasis on practical results,强调实际结果的功利主义,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000310,standardization of techniques and materials,技术和材料标准化,,standardize,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000311,standardization of observational techniques (forms) and protocols,观察技术（形式）和协议标准化,,standardize,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000312,observations down-focused to smaller areas,观察向下聚焦到更小的领域,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000313,substitution of theoretical validity for technical consistency,用理论有效性替代技术一致性,,uncertainty response activity,,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000314,measurement error,测量误差,,uncertainty arise conditions,,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000315,incomplete knowledge,不完整的知识,,uncertainty arise conditions,,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000316,limited understanding,有限的理解,,uncertainty arise conditions,,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000317,imperfect models,不完美的模型,,uncertainty arise conditions,,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000318,subjective judgement,主观判断,,uncertainty arise conditions,,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000319,inherent randomness of nature,自然固有的随机性,,uncertainty arise conditions,the chaotic and unpredictable nature of natural processes,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000320,behavioural variability,行为可变性,Human behaviour,uncertainty arise conditions,"‘non-rational’behaviour, discrepancies between what people say and what they actually do (cognitive dissonance), or deviations of ‘standard’ behavioural patterns (micro-level behaviour).",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000321,societal variability,社会可变性,"Social, economic, and cultural dynamics",uncertainty arise conditions,"the chaotic and unpredictable nature of societal  processes (macro-level behaviour). The need to consider  societal and institutional processes as a major contributor  to uncertainty due to variability can be inferred from  various papers of Funtowicz, Ravetz, and de Marchi.",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000322,technological surprise,,,uncertainty arise conditions,New developments or breakthroughs in technology or unexpected consequences (‘side-effects’) of technologies.,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000323,sampling error in the measurements,抽样误差,,uncertainty arise conditions,Sampling error is the error associated with the degree to which the sample is representative.,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000324,probability,可能,,uncertainty,,,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000325,complexity-induced uncertainty,复杂引起的不确定性,,subjective uncertainty,,,Jinjing Guo|Oliver He|Jie Zheng,definition to be confirmed
OBCS:0000326,vagueness,模糊,fuzziness|haziness|cloudiness|unclearness|indistinctiveness|sharplessness|indefiniteness|imprecision,uncertainty,vagueness is associated with the lack of precise or sharp distinctions or boundaries,"GEORGE J. KLIR (1989) IS THERE MORE TO UNCERTAINTY THAN SOME PROBABILITY THEORISTS MIGHT HAVE US BELIEVE?*, International Journal Of General System, 15:4, 347-378, DOI: 10.1080/03081078908935057.",Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000327,ambiguity,歧义,nonspecificity|variety|generality|diversity|divergence|equivocation| incongruity|discrepancy|dissonance|disagreement|imprecision,subjective uncertainty,"Ambiguity, on the other hand, is associated with one-to-many relations, that is, situations in which several alternatives are left unspecified or a desired categorization of an element is left undecided due to ignorance.","GEORGE J. KLIR (1989) IS THERE MORE TO UNCERTAINTY THAN SOME PROBABILITY THEORISTS MIGHT HAVE US BELIEVE?*, International Journal Of General System, 15:4, 347-378, DOI: 10.1080/03081078908935057.",Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000328,taxonomic uncertainty,分类不确定性,,objective uncertainty,"Taxonomic uncertainty arose as they tried to develop classification systems (for example, what kind of thing was epilepsy?).","Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000329,diagnostic uncertainty,诊断不确定性,,subjective uncertainty,Diagnostic uncertainty arose when investigators attempted to fit a particular case into their taxonomies.,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000330,organizational uncertainty,组织不确定性,,subjective uncertainty,Organizational uncertainty arose when information was lost or trapped owing to the local division of labor or the circumstances of alliances and collaborations. ,"Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000331,technical uncertainty,技术不确定性,,objective uncertainty,"Technical uncertainty developed as a result of inadequate tools or ambiguous information about techniques. Technical uncertainty arose from difficulties with subjects, equipment, and procedures, including the lack of standard  measurement techniques. ","Star, S. L. (1989). Regions of the mind: Brain research and the quest for scientific certainty. Stanford Univ. Press.",Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000332,prognosis uncertainty,预后不确定性,,subjective uncertainty,,https://uts.nlm.nih.gov/uts/umls/vocabulary/NANDA-I/03312,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000333,positive or neutral certainty,确定性（正面或中性）,,uncertainty,,https://pubmed.ncbi.nlm.nih.gov/1608829/,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000334,detrimental certainty,确定性（有害的）,,uncertainty,,https://pubmed.ncbi.nlm.nih.gov/1608829/,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000335,moderate degree of certainty,中等不确定性,,uncertainty,,https://pubmed.ncbi.nlm.nih.gov/1608829/,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000336,detrimental uncertainty,不确定性（有害的）,,uncertainty,,https://pubmed.ncbi.nlm.nih.gov/1608829/,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000337,positive uncertainty,不确定性（正面）,,uncertainty,,https://pubmed.ncbi.nlm.nih.gov/1608829/,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000338,determinism,决定论,,uncertainty,"Determinism is the ideal situation in which we know everything precisely. It is not attainable, but acts as a limiting characteristic at one end of the spectrum.",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000339,statistical uncertainty,统计不确定性,,objective uncertainty,"Statistical uncertainty is any uncertainty that can be  described adequately in statistical terms. Statistical uncertainty can apply to any location in the model, even to model structure uncertainties, as long as the deviation from the true value can be characterised statistically.Statistical uncertainty is what is usually referred to as‘‘uncertainty’’in the natural sciences.",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000340,measurement uncertainty,测量不确定性,,statistical uncertainty,Measurement uncertainty stems from the fact that measurements can practically never precisely represent the ‘‘true’’ value of that which is being measured.,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000341,scenario uncertainty,情景不确定性,,uncertainty,"Scenario uncertainty can manifest itself in various ways –  for example, (a) as a range in the outcomes of an analysis  due to different underlying assumptions, (b) as uncertainty  about which changes and developments (e.g., in driving  forces or in system characteristics) are relevant for the  outcomes of interest, or (c) as uncertainty about the levels of  these relevant changes.",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000342,recognized ignorance,公认的无知,,uncertainty,Recognised ignorance is fundamental uncertainty about  the mechanisms and functional relationships being studied. We know neither the functional relationships nor the  statistical properties and the scientific basis for developing  scenarios is weak.,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000343,reducible ignorance,可还原的无知,,recognized ignorance,"Reducible  ignorance may be resolved by conducting further research,  which implies that it might be possible to somehow achieve a  better understanding. ",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000344,irreducible ignorance,不可还原的无知,indeterminacy,recognized ignorance,Irreducible ignorance applies when neither research nor development can provide sufficient knowledge about the essential relationships. ,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000345,total ignorance,完全无知,,uncertainty,"Total ignorance is the other extreme from determinism on the scale of uncertainty, which implies a deep level of uncertainty, to the extent that we do not even know that we do not know. ",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,classification to be confirmed
OBCS:0000346,context uncertainty,场景不确定性,Situational uncertainty,objective uncertainty,"Context uncertainty includes uncertainty about the external economic, environmental, political, social, and technological situation that forms the context for the problem being examined. The context could fall within the past, the present, or the future. ",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000347,model uncertainty,模型不确定性,,subjective uncertainty,"Model uncertainty is associated with both the conceptual model (i.e., the variables and their relationships that are chosen to describe the system located within the boundaries and thus constituting the model complex) and the computer model.",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000348,model structure uncertainty,模型结构不确定性,,model uncertainty,"uncertainty about the form of the model itself. Model structure uncertainty arises from a lack of sufficient understanding of the system (past, present, or future) that is the subject of the policy analysis, including the behaviour of the system and the interrelationships among its elements.",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000349,model technical uncertainty,模型技术不确定性,,model uncertainty,"uncertainty arising from the computer implementation of the model.Model technical uncertainty is the uncertainty generated  by software or hardware errors, i.e. hidden flaws in the  technical equipment. Software errors arise from bugs in  software, design errors in algorithms and typing errors in  model source code. Hardware errors arise from bugs, such as  the bug in the early version of the Pentium processor, which gave rise to numerical error in a broad range of floating-point calculations performed on the processor.",https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
OBCS:0000350,input uncertainty,输入不确定性,,uncertainty,,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,definition and classification to be confirmed
OBCS:0000351,external driving forces uncertainty,外部驱动力量不确定性,,input uncertainty,Uncertainty about the external driving forces that produce changes within the system (the relevant scenario variables and policy variables) and the magnitude of the forces (the values of the scenario and policy variables). ,https://www.tandfonline.com/doi/abs/10.1076/iaij.4.1.5.16466,Jinjing Guo|Oliver He|Jie Zheng,
